File 	 Cell Number
24h->C1-untreated_1.1 	 2249
24h->C1-untreated_1.2 	 2323
24h->C1-untreated_2.1 	 2472
24h->C1-untreated_2.2 	 2645
24h->C1-untreated_2.3 	 2542
24h->C1-untreated_3 	 2597
24h->C2-untreated_1.1 	 3703
24h->C2-untreated_1.2 	 2697
24h->C2-untreated_2.1 	 3312
24h->C2-untreated_2.2 	 3567
24h->C2-untreated_2.3 	 3168
24h->C2-untreated_3 	 3328
48h->C1-untreated_1 	 4377
48h->C1-untreated_2 	 4715
48h->C1-untreated_3 	 4696
48h->C1-untreated_4.1 	 5732
48h->C2-untreated_1 	 4848
48h->C2-untreated_2 	 5099
48h->C2-untreated_3 	 5073
48h->C2-untreated_4.1 	 5858
72h->C1-untreated_1 	 8967
72h->C1-untreated_2 	 9749
72h->C1-untreated_3 	 7031
72h->C1-untreated_4 	 8283
72h->C2-untreated_1 	 10079
72h->C2-untreated_2 	 7560
72h->C2-untreated_3 	 6705
72h->C2-untreated_4 	 9934
